group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
algoritmo_v2,,,,,90330039.0,ns,143829
algoritmo_v2,,,,,180359442.0,ns,287658
algoritmo_v2,,,,,288715100.0,ns,431487
algoritmo_v2,,,,,363268746.0,ns,575316
algoritmo_v2,,,,,456057936.0,ns,719145
algoritmo_v2,,,,,541683661.0,ns,862974
algoritmo_v2,,,,,633490330.0,ns,1006803
algoritmo_v2,,,,,732590169.0,ns,1150632
algoritmo_v2,,,,,813211703.0,ns,1294461
algoritmo_v2,,,,,917097223.0,ns,1438290
